dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value
froiFyRGgr4,202301,H0sIhCir6yk,SmLUO99wdfb,fpkkdSpN6kR,1
froiFyRGgr4,202301,H0sIhCir6yk,US2dWooI6pT,fpkkdSpN6kR,1
froiFyRGgr4,202301,H0sIhCir6yk,FZZZIfer5tA,fpkkdSpN6kR,1
froiFyRGgr4,202301,H0sIhCir6yk,Yt9tkigTSBr,fpkkdSpN6kR,1
cQrBB10BGxi,202301,H0sIhCir6yk,CyDgS7Qku5m,fpkkdSpN6kR,7
t5ZJVcqQkoj,202301,H0sIhCir6yk,kRllyFYpmEk,fpkkdSpN6kR,0
t5ZJVcqQkoj,202301,H0sIhCir6yk,Nntq9ClJNGU,fpkkdSpN6kR,0
t5ZJVcqQkoj,202301,H0sIhCir6yk,iJybmQR2wwC,fpkkdSpN6kR,0
t5ZJVcqQkoj,202301,H0sIhCir6yk,K3M6HFW3Qte,fpkkdSpN6kR,0
t5ZJVcqQkoj,202301,H0sIhCir6yk,eWDMSxd9mJP,fpkkdSpN6kR,0
uPko4LmK5a1,202301,H0sIhCir6yk,TT9hQ7SaHea,fpkkdSpN6kR,1
uPko4LmK5a1,202301,H0sIhCir6yk,BqGKadWCFhx,fpkkdSpN6kR,1
uPko4LmK5a1,202301,H0sIhCir6yk,subJjGY0UcE,fpkkdSpN6kR,1
uPko4LmK5a1,202301,H0sIhCir6yk,tpKwyj8il3w,fpkkdSpN6kR,2
uPko4LmK5a1,202301,H0sIhCir6yk,onwJ6bulsyi,fpkkdSpN6kR,3
uPko4LmK5a1,202301,H0sIhCir6yk,Mwqc3GO1kId,fpkkdSpN6kR,5
uPko4LmK5a1,202301,H0sIhCir6yk,pUXn4laGtJe,fpkkdSpN6kR,1
uPko4LmK5a1,202301,H0sIhCir6yk,SmLUO99wdfb,fpkkdSpN6kR,5
uPko4LmK5a1,202301,H0sIhCir6yk,udSjk1sKgO5,fpkkdSpN6kR,3
uPko4LmK5a1,202301,H0sIhCir6yk,IzV4BuohS90,fpkkdSpN6kR,4
uPko4LmK5a1,202301,H0sIhCir6yk,US2dWooI6pT,fpkkdSpN6kR,5
uPko4LmK5a1,202301,H0sIhCir6yk,EMovAqLcbGq,fpkkdSpN6kR,2
uPko4LmK5a1,202301,H0sIhCir6yk,pdPUNjzab6h,fpkkdSpN6kR,3
uPko4LmK5a1,202301,H0sIhCir6yk,FZZZIfer5tA,fpkkdSpN6kR,2
uPko4LmK5a1,202301,H0sIhCir6yk,RQXs6B8Td4v,fpkkdSpN6kR,2
uPko4LmK5a1,202301,H0sIhCir6yk,qbzDBEJWFMB,fpkkdSpN6kR,1
uPko4LmK5a1,202301,H0sIhCir6yk,RT7QsVY15yL,fpkkdSpN6kR,1
uPko4LmK5a1,202301,H0sIhCir6yk,ETwXuMGk1iE,fpkkdSpN6kR,1
uPko4LmK5a1,202301,H0sIhCir6yk,TSt8KAsSu0I,fpkkdSpN6kR,1
Amjof7m56pu,202301,H0sIhCir6yk,npH8itUeHIS,fpkkdSpN6kR,1
Amjof7m56pu,202301,H0sIhCir6yk,LweO5DFYc2D,fpkkdSpN6kR,1
Amjof7m56pu,202301,H0sIhCir6yk,cBfErmqaAUM,fpkkdSpN6kR,1
Amjof7m56pu,202301,H0sIhCir6yk,krdyr5qQh4q,fpkkdSpN6kR,1
Amjof7m56pu,202301,H0sIhCir6yk,NX2LGWa28sB,fpkkdSpN6kR,1
Amjof7m56pu,202301,H0sIhCir6yk,eJcvGBqvIMX,fpkkdSpN6kR,1
Amjof7m56pu,202301,H0sIhCir6yk,gdR2vM5kcHH,fpkkdSpN6kR,1
Amjof7m56pu,202301,H0sIhCir6yk,B5WnIuiV5XP,fpkkdSpN6kR,1
EfqaGpGUJCO,202301,H0sIhCir6yk,r53rQDrTrhz,fpkkdSpN6kR,0
EfqaGpGUJCO,202301,H0sIhCir6yk,CyDgS7Qku5m,fpkkdSpN6kR,8
EfqaGpGUJCO,202301,H0sIhCir6yk,t6WozeeCDLl,fpkkdSpN6kR,0
EfqaGpGUJCO,202301,H0sIhCir6yk,MvFho1wUKjy,fpkkdSpN6kR,0
