dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value
olyDZR1zi5l,202401,ncgkwcQrfmc,pfsg37DbvRY,fpkkdSpN6kR,57
olyDZR1zi5l,202401,ncgkwcQrfmc,p1b5j5wA0Eh,fpkkdSpN6kR,185
OtDNleqPrWk,202401,ncgkwcQrfmc,kFMOXWP8bV0,fpkkdSpN6kR,58
OtDNleqPrWk,202401,ncgkwcQrfmc,tJ2u2vZJsqS,fpkkdSpN6kR,94
OtDNleqPrWk,202401,ncgkwcQrfmc,jjCwJgyZEqT,fpkkdSpN6kR,1
OtDNleqPrWk,202401,ncgkwcQrfmc,bSyului4nat,fpkkdSpN6kR,98
OtDNleqPrWk,202401,ncgkwcQrfmc,dKn4XNRrmbr,fpkkdSpN6kR,75
OtDNleqPrWk,202401,ncgkwcQrfmc,u25baY5gWPP,fpkkdSpN6kR,43
OtDNleqPrWk,202401,ncgkwcQrfmc,c3ZDrElLszm,fpkkdSpN6kR,10
froiFyRGgr4,202401,ncgkwcQrfmc,wcvVlUrzbYG,fpkkdSpN6kR,1
froiFyRGgr4,202401,ncgkwcQrfmc,tpKwyj8il3w,fpkkdSpN6kR,2
froiFyRGgr4,202401,ncgkwcQrfmc,Mwqc3GO1kId,fpkkdSpN6kR,3
froiFyRGgr4,202401,ncgkwcQrfmc,pUXn4laGtJe,fpkkdSpN6kR,1
froiFyRGgr4,202401,ncgkwcQrfmc,SmLUO99wdfb,fpkkdSpN6kR,8
froiFyRGgr4,202401,ncgkwcQrfmc,udSjk1sKgO5,fpkkdSpN6kR,3
froiFyRGgr4,202401,ncgkwcQrfmc,IzV4BuohS90,fpkkdSpN6kR,2
froiFyRGgr4,202401,ncgkwcQrfmc,US2dWooI6pT,fpkkdSpN6kR,2
froiFyRGgr4,202401,ncgkwcQrfmc,EMovAqLcbGq,fpkkdSpN6kR,1
froiFyRGgr4,202401,ncgkwcQrfmc,pdPUNjzab6h,fpkkdSpN6kR,2
froiFyRGgr4,202401,ncgkwcQrfmc,GnlieRaxUWw,fpkkdSpN6kR,1
froiFyRGgr4,202401,ncgkwcQrfmc,FZZZIfer5tA,fpkkdSpN6kR,2
froiFyRGgr4,202401,ncgkwcQrfmc,RQXs6B8Td4v,fpkkdSpN6kR,1
froiFyRGgr4,202401,ncgkwcQrfmc,tH50hwj5Neo,fpkkdSpN6kR,3
cQrBB10BGxi,202401,ncgkwcQrfmc,r53rQDrTrhz,fpkkdSpN6kR,8
cQrBB10BGxi,202401,ncgkwcQrfmc,CyDgS7Qku5m,fpkkdSpN6kR,15
cQrBB10BGxi,202401,ncgkwcQrfmc,MxVPeTmNJFu,fpkkdSpN6kR,22
tQV1pAPFOnS,202401,ncgkwcQrfmc,WpZQaeeMCKJ,fpkkdSpN6kR,13
tQV1pAPFOnS,202401,ncgkwcQrfmc,LXHZ8lSLnhy,fpkkdSpN6kR,1
tQV1pAPFOnS,202401,ncgkwcQrfmc,JfjhOSoy2hv,fpkkdSpN6kR,38
tQV1pAPFOnS,202401,ncgkwcQrfmc,GJDKN4m3n09,fpkkdSpN6kR,1
tQV1pAPFOnS,202401,ncgkwcQrfmc,qlTv99cpLl1,fpkkdSpN6kR,6
tQV1pAPFOnS,202401,ncgkwcQrfmc,zRyCuP6y1xF,fpkkdSpN6kR,16
tQV1pAPFOnS,202401,ncgkwcQrfmc,aPHyuuGpEyU,fpkkdSpN6kR,39
tQV1pAPFOnS,202401,ncgkwcQrfmc,Jrjua7wKEw0,fpkkdSpN6kR,2
tQV1pAPFOnS,202401,ncgkwcQrfmc,Yewmbepdil9,fpkkdSpN6kR,5
tQV1pAPFOnS,202401,ncgkwcQrfmc,VQgOCsEFk7W,fpkkdSpN6kR,31
tQV1pAPFOnS,202401,ncgkwcQrfmc,sLo1j5UZyiy,fpkkdSpN6kR,22
tQV1pAPFOnS,202401,ncgkwcQrfmc,QxpmYZty8XI,fpkkdSpN6kR,3
tQV1pAPFOnS,202401,ncgkwcQrfmc,EOQsGQINz9u,fpkkdSpN6kR,41
tQV1pAPFOnS,202401,ncgkwcQrfmc,MeUnnu0NrhD,fpkkdSpN6kR,16
tQV1pAPFOnS,202401,ncgkwcQrfmc,FlIPlRw7NET,fpkkdSpN6kR,2
tQV1pAPFOnS,202401,ncgkwcQrfmc,Rx6wFDeDe4q,fpkkdSpN6kR,15
tQV1pAPFOnS,202401,ncgkwcQrfmc,jpaxuokbrKx,fpkkdSpN6kR,9
tQV1pAPFOnS,202401,ncgkwcQrfmc,PTJFpdMyJtF,fpkkdSpN6kR,4
tQV1pAPFOnS,202401,ncgkwcQrfmc,c794vblk7H3,fpkkdSpN6kR,2
Amjof7m56pu,202401,ncgkwcQrfmc,cmYP9iAUxMG,fpkkdSpN6kR,1
Amjof7m56pu,202401,ncgkwcQrfmc,WKfL1KzbtpP,fpkkdSpN6kR,1
EfqaGpGUJCO,202401,ncgkwcQrfmc,r53rQDrTrhz,fpkkdSpN6kR,9
EfqaGpGUJCO,202401,ncgkwcQrfmc,CyDgS7Qku5m,fpkkdSpN6kR,56
EfqaGpGUJCO,202401,ncgkwcQrfmc,t6WozeeCDLl,fpkkdSpN6kR,15
EfqaGpGUJCO,202401,ncgkwcQrfmc,MvFho1wUKjy,fpkkdSpN6kR,5
